x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.039,0.003,True,1.0,0.03912,2025-09-11 15:33:35.835,2025-09-11 15:33:42.097,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.04,0.003,True,1.0,0.04011,2025-09-11 15:33:42.101,2025-09-11 15:33:48.365,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.041,0.003,True,1.0,0.04111,2025-09-11 15:33:48.368,2025-09-11 15:33:54.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.042,0.003,True,1.0,0.04211,2025-09-11 15:33:54.635,2025-09-11 15:34:00.898,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.043000000000000003,0.003,True,1.0,0.0431,2025-09-11 15:34:00.901,2025-09-11 15:34:07.164,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.044,0.003,True,1.0,0.0441,2025-09-11 15:34:07.168,2025-09-11 15:34:13.431,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.045,0.003,True,1.0,0.0451,2025-09-11 15:34:13.434,2025-09-11 15:34:19.698,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.046,0.003,True,1.0,0.0461,2025-09-11 15:34:19.702,2025-09-11 15:34:25.965,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.047,0.003,True,1.0,0.0471,2025-09-11 15:34:25.968,2025-09-11 15:34:32.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.048,0.003,True,1.0,0.04809,2025-09-11 15:34:32.234,2025-09-11 15:34:38.499,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.049,0.003,True,1.0,0.04909,2025-09-11 15:34:38.502,2025-09-11 15:34:44.764,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.05,0.003,True,1.0,0.05009,2025-09-11 15:34:44.769,2025-09-11 15:34:51.031,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.051000000000000004,0.003,True,1.0,0.05109,2025-09-11 15:34:51.037,2025-09-11 15:34:57.298,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.052000000000000005,0.003,True,1.0,0.05209,2025-09-11 15:34:57.302,2025-09-11 15:35:03.564,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.053,0.003,True,1.0,0.05308,2025-09-11 15:35:03.568,2025-09-11 15:35:09.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.054,0.003,True,1.0,0.05408,2025-09-11 15:35:09.836,2025-09-11 15:35:16.098,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.055,0.003,True,1.0,0.05508,2025-09-11 15:35:16.101,2025-09-11 15:35:22.365,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.056,0.003,True,1.0,0.05608,2025-09-11 15:35:22.368,2025-09-11 15:35:28.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.057,0.003,True,1.0,0.05708,2025-09-11 15:35:28.635,2025-09-11 15:35:34.898,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.058,0.003,True,1.0,0.05808,2025-09-11 15:35:34.901,2025-09-11 15:35:41.164,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.059000000000000004,0.003,True,1.0,0.05908,2025-09-11 15:35:41.175,2025-09-11 15:35:47.431,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.06,0.003,True,1.0,0.06007,2025-09-11 15:35:47.436,2025-09-11 15:35:53.698,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.061,0.003,True,1.0,0.06107,2025-09-11 15:35:53.701,2025-09-11 15:35:59.964,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.062,0.003,True,1.0,0.06207,2025-09-11 15:35:59.969,2025-09-11 15:36:06.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.063,0.003,True,1.0,0.06307,2025-09-11 15:36:06.237,2025-09-11 15:36:12.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.064,0.003,True,1.0,0.06407,2025-09-11 15:36:12.503,2025-09-11 15:36:18.765,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.065,0.003,True,1.0,0.06507,2025-09-11 15:36:18.770,2025-09-11 15:36:25.031,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.066,0.003,True,1.0,0.06607,2025-09-11 15:36:25.035,2025-09-11 15:36:31.298,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.067,0.003,True,1.0,0.06707,2025-09-11 15:36:31.301,2025-09-11 15:36:37.564,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.068,0.003,True,1.0,0.06807,2025-09-11 15:36:37.572,2025-09-11 15:36:43.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.069,0.003,True,1.0,0.06907,2025-09-11 15:36:43.834,2025-09-11 15:36:50.098,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.07,0.003,True,1.0,0.07006,2025-09-11 15:36:50.103,2025-09-11 15:36:56.365,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.07100000000000001,0.003,True,1.0,0.07106,2025-09-11 15:36:56.369,2025-09-11 15:37:02.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.07200000000000001,0.003,True,1.0,0.07206,2025-09-11 15:37:02.634,2025-09-11 15:37:08.898,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.073,0.003,True,1.0,0.07306,2025-09-11 15:37:08.901,2025-09-11 15:37:15.164,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.074,0.003,True,1.0,0.07406,2025-09-11 15:37:15.169,2025-09-11 15:37:21.431,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.075,0.003,True,1.0,0.07506,2025-09-11 15:37:21.434,2025-09-11 15:37:27.698,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.076,0.003,True,1.0,0.07606,2025-09-11 15:37:27.701,2025-09-11 15:37:33.964,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.077,0.003,True,1.0,0.07706,2025-09-11 15:37:33.967,2025-09-11 15:37:40.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.078,0.003,True,1.0,0.07806,2025-09-11 15:37:40.237,2025-09-11 15:37:46.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.079,0.003,True,1.0,0.07906,2025-09-11 15:37:46.501,2025-09-11 15:37:52.765,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.08,0.003,True,1.0,0.08006,2025-09-11 15:37:52.769,2025-09-11 15:37:59.031,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.081,0.003,True,1.0,0.08106,2025-09-11 15:37:59.036,2025-09-11 15:38:05.298,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.082,0.003,True,1.0,0.08205,2025-09-11 15:38:05.301,2025-09-11 15:38:11.564,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.083,0.003,True,1.0,0.08305,2025-09-11 15:38:11.568,2025-09-11 15:38:17.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.084,0.003,True,1.0,0.08405,2025-09-11 15:38:17.835,2025-09-11 15:38:24.098,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.085,0.003,True,1.0,0.08505,2025-09-11 15:38:24.101,2025-09-11 15:38:30.365,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.08600000000000001,0.003,True,1.0,0.08605,2025-09-11 15:38:30.370,2025-09-11 15:38:36.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.08700000000000001,0.003,True,1.0,0.08705,2025-09-11 15:38:36.634,2025-09-11 15:38:42.898,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.088,0.003,True,1.0,0.08805,2025-09-11 15:38:42.902,2025-09-11 15:38:49.165,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.089,0.003,True,1.0,0.08905,2025-09-11 15:38:49.169,2025-09-11 15:38:55.431,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.09,0.003,True,1.0,0.09005,2025-09-11 15:38:55.435,2025-09-11 15:39:01.698,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.091,0.003,True,1.0,0.09105,2025-09-11 15:39:01.701,2025-09-11 15:39:07.965,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.092,0.003,True,1.0,0.09205,2025-09-11 15:39:07.969,2025-09-11 15:39:14.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.093,0.003,True,1.0,0.09305,2025-09-11 15:39:14.234,2025-09-11 15:39:20.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.094,0.003,True,1.0,0.09405,2025-09-11 15:39:20.502,2025-09-11 15:39:26.731,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.095,0.003,True,1.0,0.09505,2025-09-11 15:39:26.735,2025-09-11 15:39:32.998,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.096,0.003,True,1.0,0.09605,2025-09-11 15:39:33.002,2025-09-11 15:39:39.265,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.097,0.003,True,1.0,0.09705,2025-09-11 15:39:39.269,2025-09-11 15:39:45.531,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.098,0.003,True,1.0,0.09805,2025-09-11 15:39:45.539,2025-09-11 15:39:51.798,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.099,0.003,True,1.0,0.09905,2025-09-11 15:39:51.801,2025-09-11 15:39:58.031,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.1,0.003,True,1.0,0.10004,2025-09-11 15:39:58.034,2025-09-11 15:40:04.264,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
